"Step","Grouped runs - mean_return","Grouped runs - mean_return__MIN","Grouped runs - mean_return__MAX"
"389","758.5600000000001","696.1","795"
"390","760.5600000000001","701.3","795"
"391","760.38","699.4","795"
"392","756.46","698.8","795"
"393","761.6199999999999","698.4","795"
"394","777.15","753.2","795"
"395","774.775","750","795"
"396","776.5","753.2","795"
"397","776.775","751.6","795"
"398","776.15","753.2","795"
"399","776.7","754.8","795"
"400","777.6","754.8","795"
"401","776.025","753.2","795"
"402","777.025","754.8","795"
"403","776.55","753.2","795"
"404","778","759.6","795"
"405","777.2","755.8","795"
"406","775.8","753.2","795"
"407","778.375","758","795"
"408","776.85","754.8","795"
"409","775.4666666666667","756.4","795"
"410","774.4","753.2","795"
"411","775.2666666666668","755.8","795"
"412","776.5333333333333","759.6","795"
"413","774.9333333333334","754.8","795"
"414","774.4","753.2","795"
"415","774.9333333333334","754.8","795"
"416","775.4666666666667","756.4","795"
"417","774.9333333333334","754.8","795"
"418","774.9333333333334","754.8","795"
"419","775.4666666666667","756.4","795"
"420","774.9333333333334","754.8","795"
"421","774.4","753.2","795"
"422","774.9333333333334","754.8","795"
"423","774.9333333333334","754.8","795"
"424","774.7333333333332","754.2","795"
"425","774.9333333333334","754.8","795"
"426","776","758","795"
"427","774.3333333333334","752.2","795"
"428","774.4","753.2","795"
"429","774.4","753.2","795"
"430","774.9333333333334","754.8","795"
"431","775.8000000000001","757.4","795"
"432","774.4","753.2","795"
"433","775.4666666666667","756.4","795"
"434","774.9333333333334","754.8","795"
"435","774.9333333333334","754.8","795"
"436","775.4666666666667","756.4","795"
"437","774.9333333333334","754.8","795"
"438","764.1","753.2","775"
"439","764.9","754.8","775"
"440","766.2","757.4","775"
"441","764.6","754.2","775"
"442","766.5","758","775"
"443","766.5","758","775"
"444","765.7","756.4","775"
"445","764.9","754.8","775"
"446","766.5","758","775"
"447","764.9","754.8","775"
"448","764.1","753.2","775"
"449","764.1","753.2","775"
"450","764.1","753.2","775"
"451","765.7","756.4","775"
"452","765.7","756.4","775"
"453","774.7","774.7","774.7"
"454","775","775","775"
